case_id,activity,timestamp,assigned_teams,products,locations,urgency
case_PO_003,Items Verified,2024-01-23 08:30:00+00:00,IT,Server,Munich,urgent
case_PO_003,Items Verified,2024-01-23 08:30:00+00:00,IT,Server,Stuttgart,urgent
case_PO_003,Items Verified,2024-01-23 08:30:00+00:00,IT,Router,Munich,urgent
case_PO_003,Items Verified,2024-01-23 08:30:00+00:00,IT,Router,Stuttgart,urgent
case_PO_003,Items Verified,2024-01-23 08:30:00+00:00,IT,Switch,Munich,urgent
case_PO_003,Items Verified,2024-01-23 08:30:00+00:00,IT,Switch,Stuttgart,urgent
case_PO_003,Priority Handling,2024-01-23 09:00:00+00:00,Management,Server,Munich,urgent
case_PO_003,Priority Handling,2024-01-23 09:00:00+00:00,Management,Router,Munich,urgent
case_PO_003,Priority Handling,2024-01-23 09:00:00+00:00,Management,Switch,Munich,urgent
case_PO_003,Priority Handling,2024-01-23 09:00:00+00:00,IT,Server,Munich,urgent
case_PO_003,Priority Handling,2024-01-23 09:00:00+00:00,IT,Router,Munich,urgent
case_PO_003,Priority Handling,2024-01-23 09:00:00+00:00,IT,Switch,Munich,urgent
case_PO_003,Payment Confirmed,2024-01-23 10:00:00+00:00,Finance,Server,Munich,urgent
case_PO_003,Payment Confirmed,2024-01-23 10:00:00+00:00,Finance,Router,Munich,urgent
case_PO_003,Payment Confirmed,2024-01-23 10:00:00+00:00,Finance,Switch,Munich,urgent
case_PO_003,Express Delivery,2024-01-23 11:00:00+00:00,Logistics,Server,Munich,urgent
case_PO_003,Express Delivery,2024-01-23 11:00:00+00:00,Logistics,Server,Stuttgart,urgent
case_PO_003,Express Delivery,2024-01-23 11:00:00+00:00,Logistics,Server,Berlin,urgent
case_PO_003,Express Delivery,2024-01-23 11:00:00+00:00,Logistics,Router,Munich,urgent
case_PO_003,Express Delivery,2024-01-23 11:00:00+00:00,Logistics,Router,Stuttgart,urgent
case_PO_003,Express Delivery,2024-01-23 11:00:00+00:00,Logistics,Router,Berlin,urgent
case_PO_003,Express Delivery,2024-01-23 11:00:00+00:00,Logistics,Switch,Munich,urgent
case_PO_003,Express Delivery,2024-01-23 11:00:00+00:00,Logistics,Switch,Stuttgart,urgent
case_PO_003,Express Delivery,2024-01-23 11:00:00+00:00,Logistics,Switch,Berlin,urgent
case_PO_003,Express Delivery,2024-01-23 11:00:00+00:00,Management,Server,Munich,urgent
case_PO_003,Express Delivery,2024-01-23 11:00:00+00:00,Management,Server,Stuttgart,urgent
case_PO_003,Express Delivery,2024-01-23 11:00:00+00:00,Management,Server,Berlin,urgent
case_PO_003,Express Delivery,2024-01-23 11:00:00+00:00,Management,Router,Munich,urgent
case_PO_003,Express Delivery,2024-01-23 11:00:00+00:00,Management,Router,Stuttgart,urgent
case_PO_003,Express Delivery,2024-01-23 11:00:00+00:00,Management,Router,Berlin,urgent
case_PO_003,Express Delivery,2024-01-23 11:00:00+00:00,Management,Switch,Munich,urgent
case_PO_003,Express Delivery,2024-01-23 11:00:00+00:00,Management,Switch,Stuttgart,urgent
case_PO_003,Express Delivery,2024-01-23 11:00:00+00:00,Management,Switch,Berlin,urgent
case_PO_004,Order Created,2024-01-23 13:00:00+00:00,Sales,Mouse,Cologne,normal
case_PO_004,Items Verified,2024-01-23 14:00:00+00:00,Warehouse,Mouse,Cologne,normal
